session_id,app_start_time,game_id,game_start_time,range_error,range_error_type_id,range_error_type
29,2022-01-13 19:14:58,42.0,2022-01-13 19:15:57,1.0,3.0,invalid
30,2022-01-13 19:22:29,45.0,2022-01-13 19:23:02,1.0,3.0,invalid
75,2022-01-29 14:58:16,122.0,2022-01-29 14:58:25,1.0,3.0,invalid
75,2022-01-29 14:58:16,123.0,2022-01-29 14:58:30,1.0,1.0,comparison
119,2022-02-01 20:07:25,194.0,2022-02-01 20:09:11,1.0,3.0,invalid
123,2022-02-03 17:42:24,217.0,2022-02-03 17:45:10,1.0,3.0,invalid
123,2022-02-03 17:42:24,218.0,2022-02-03 17:45:14,1.0,1.0,comparison
206,2022-02-07 11:36:59,379.0,2022-02-07 11:42:53,1.0,3.0,invalid
206,2022-02-07 11:36:59,380.0,2022-02-07 11:42:58,1.0,1.0,comparison
210,2022-02-07 19:37:38,387.0,2022-02-07 19:39:15,1.0,3.0,invalid
210,2022-02-07 19:37:38,388.0,2022-02-07 19:39:25,1.0,1.0,comparison
239,2022-02-12 23:32:25,468.0,2022-02-12 23:33:47,1.0,3.0,invalid
239,2022-02-12 23:32:25,469.0,2022-02-12 23:33:55,1.0,1.0,comparison
240,2022-02-13 09:51:01,473.0,2022-02-13 09:52:41,1.0,3.0,invalid
240,2022-02-13 09:51:01,474.0,2022-02-13 09:52:45,1.0,1.0,comparison
243,2022-02-13 19:20:58,476.0,2022-02-13 19:21:22,1.0,3.0,invalid
243,2022-02-13 19:20:58,477.0,2022-02-13 19:21:29,1.0,1.0,comparison
298,2022-03-02 21:17:39,555.0,2022-03-02 21:20:12,1.0,3.0,invalid
298,2022-03-02 21:17:39,556.0,2022-03-02 21:20:17,1.0,1.0,comparison
317,2022-03-04 18:13:10,593.0,2022-03-04 18:16:59,1.0,3.0,invalid
317,2022-03-04 18:13:10,594.0,2022-03-04 18:17:04,1.0,1.0,comparison
318,2022-03-04 18:24:38,600.0,2022-03-04 18:27:13,1.0,3.0,invalid
318,2022-03-04 18:24:38,601.0,2022-03-04 18:27:17,1.0,1.0,comparison
321,2022-03-05 05:09:14,612.0,2022-03-05 05:14:03,1.0,3.0,invalid
321,2022-03-05 05:09:14,613.0,2022-03-05 05:14:06,1.0,1.0,comparison
326,2022-03-14 20:40:26,625.0,2022-03-14 20:42:21,1.0,3.0,invalid
326,2022-03-14 20:40:26,626.0,2022-03-14 20:42:29,1.0,1.0,comparison
328,2022-03-22 18:46:30,639.0,2022-03-22 18:51:13,1.0,3.0,invalid
328,2022-03-22 18:46:30,640.0,2022-03-22 18:51:16,1.0,1.0,comparison
331,2022-03-22 19:14:16,646.0,2022-03-22 19:14:45,1.0,1.0,comparison
332,2022-03-22 19:27:49,655.0,2022-03-22 19:28:15,1.0,3.0,invalid
335,2022-05-01 20:41:16,668.0,2022-05-01 20:43:29,1.0,3.0,invalid
335,2022-05-01 20:41:16,669.0,2022-05-01 20:43:33,1.0,1.0,comparison
